"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword computer should display the corresponding article","SUCCESS","2018-05-11T16:57:48.017+03:00[Europe/Bucharest]","0.0","9.24"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2018-05-11T16:57:57.285+03:00[Europe/Bucharest]","0.0","6.05"
"Search by keyword story","Searching by keyword elephant should display the corresponding article","SUCCESS","2018-05-11T16:58:03.357+03:00[Europe/Bucharest]","0.0","5.83"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2018-05-11T16:58:09.329+03:00[Europe/Bucharest]","0.0","6.93"
