"Story","Title","Result","Date","Stability","Duration (s)"
"Add product story","Adding incorrect data should display the error message","SUCCESS","2018-05-10T17:02:49.419+03:00[Europe/Bucharest]","0.0","7.13"
"Add product story","Adding correct data should display the success message","SUCCESS","2018-05-10T17:02:56.918+03:00[Europe/Bucharest]","0.0","4.39"
"Add product story","Adding data should display the correct message","SUCCESS","2018-05-11T16:57:46.173+03:00[Europe/Bucharest]","0.0","67.71"
"Search by keyword story","Searching by keyword computer should display the corresponding article","SUCCESS","2018-05-11T16:57:48.017+03:00[Europe/Bucharest]","0.0","9.24"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2018-05-11T16:57:57.285+03:00[Europe/Bucharest]","0.0","6.05"
"Search by keyword story","Searching by keyword elephant should display the corresponding article","SUCCESS","2018-05-11T16:58:03.357+03:00[Europe/Bucharest]","0.0","5.83"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2018-05-11T16:58:09.183+03:00[Europe/Bucharest]","0.0","0.12"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2018-05-11T16:58:09.329+03:00[Europe/Bucharest]","0.0","6.93"
